desc_name,model_name,rmse_train,rmse_test
morganfp,lasso,2.580181779349359,4.577420708807433
morganfp,ridge,0.14503135163065017,3.0502306634961855
morganfp,rf,0.7821973164485359,3.3048229263845412
morganfp,xgb,0.3235625922679901,3.4101133346557617
morganfp,lgbm,1.4077047414015909,3.218201041731599
schnet_emb,lasso,2.716466964865533,4.320180174913456
schnet_emb,ridge,2.5768869559573107,3.809834597602538
schnet_emb,rf,0.8199122439021231,2.6638203188761738
schnet_emb,xgb,0.38521647453308105,3.116223096847534
schnet_emb,lgbm,0.8368056700542835,2.930442986999641
dimenet_emb,lasso,2.9529289566294317,5.585282429875684
dimenet_emb,ridge,2.2312894375492323,3.1954419004169217
dimenet_emb,rf,0.768554886831637,3.18877516092356
dimenet_emb,xgb,0.002348959678784013,3.853736400604248
dimenet_emb,lgbm,0.5207708925567,3.126450484608925
dimenetpp_emb,lasso,3.0157798959245166,5.571545020796381
dimenetpp_emb,ridge,2.113182619628057,3.1733323049284525
dimenetpp_emb,rf,0.6958756022418766,3.183307145141306
dimenetpp_emb,xgb,0.0021596436854451895,3.1313042640686035
dimenetpp_emb,lgbm,0.5144610251913094,2.8110321312189406
molformer,lasso,2.021094729895481,3.5308222305154326
molformer,ridge,0.1425807174252498,3.713962801162483
molformer,rf,0.8528967423345702,4.634181403474371
molformer,xgb,0.0003782524145208299,4.341986656188965
molformer,lgbm,0.3767469584386464,4.0154373426786965
