desc_name,model_name,rmse_train,rmse_test
morganfp,lasso,1.1800482834867028,3.556070226937349
morganfp,ridge,0.09775098517959079,3.545616564930104
morganfp,rf,0.7821973164485359,3.3048229263845412
morganfp,xgb,0.3235625922679901,3.4101133346557617
morganfp,lgbm,1.4077047414015909,3.218201041731599
schnet_emb,lasso,2.603371075507192,3.887970265677906
schnet_emb,ridge,2.5768657710597824,3.8101567784650907
schnet_emb,rf,0.8309944550598236,2.663513182427488
schnet_emb,xgb,0.3845210373401642,2.8344321250915527
schnet_emb,lgbm,0.8407133621306966,3.0831616290065202
dimenet_emb,lasso,2.5121483900873693,3.9601250867990876
dimenet_emb,ridge,1.5316988028844378,3.0720650102172375
dimenet_emb,rf,0.7702401432680329,3.2083270868883575
dimenet_emb,xgb,0.002348959678784013,3.853736400604248
dimenet_emb,lgbm,0.48449435980430106,3.1970998393183483
dimenetpp_emb,lasso,2.451779661693369,3.606955522886166
dimenetpp_emb,ridge,1.4532945757561833,4.594523780451078
dimenetpp_emb,rf,0.6953777355102249,3.189547499013228
dimenetpp_emb,xgb,0.0021596436854451895,3.1313042640686035
dimenetpp_emb,lgbm,0.5181169776835846,2.9000129077999217
