desc_name,model_name,rmse_train,rmse_test
morganfp,lasso,2.6555834244824186,2.7473337396840942
morganfp,ridge,0.1517427587178891,2.0366889179133567
morganfp,rf,0.7845549937436701,2.123317721621688
morganfp,xgb,0.35124701261520386,1.8910088539123535
morganfp,lgbm,1.570882646120131,2.265255457170237
schnet_emb,lasso,2.8035850485310694,2.7115380669783873
schnet_emb,ridge,2.667964096904496,2.6345898942332795
schnet_emb,rf,0.8579953649008067,1.9497744760513853
schnet_emb,xgb,0.3249812424182892,1.721734642982483
schnet_emb,lgbm,0.8351431937245422,1.7018270332537542
dimenet_emb,lasso,3.0904242939285953,3.061110694219131
dimenet_emb,ridge,2.243880646999485,2.4553653729344407
dimenet_emb,rf,0.75605470512396,1.603428275114762
dimenet_emb,xgb,0.0012771750334650278,1.550889492034912
dimenet_emb,lgbm,0.5869773889454037,1.6278771967616064
dimenetpp_emb,lasso,3.082451448974986,3.0294786696222986
dimenetpp_emb,ridge,2.142596498646749,2.3272929111669645
dimenetpp_emb,rf,0.7101855304396976,1.4628121042511752
dimenetpp_emb,xgb,0.00108534493483603,1.3710240125656128
dimenetpp_emb,lgbm,0.5707469966456473,1.491882567936883
molformer,lasso,1.9451221749086138,2.40374934374508
molformer,ridge,0.09200782283963926,3.5149718548968036
molformer,rf,0.8756406264405232,2.3426879079015466
molformer,xgb,0.00037362228613346815,2.5037741661071777
molformer,lgbm,0.41716433817889437,2.1957798319545647
